x,y
585,0.01618155912884185
586,0.016218721037998145
587,0.016327279398275545
588,0.01612059039045326
589,0.016237061091942357
590,0.016211604095563138
591,0.016218208625138224
592,0.01608954179783141
593,0.016288539848749273
594,0.01612403100775194
595,0.016249378212568395
596,0.016153305909501356
597,0.01623642097885761
598,0.01616161616161616
599,0.0163303034971499
600,0.016099566110984242
601,0.016307513104251603
602,0.01619318181818182
603,0.016221934877159987
604,0.016158425464706597
605,0.016234616391725583
606,0.016182081305091436
607,0.01628835645229088
608,0.016051364365971106
609,0.016216216216216217
610,0.016210115933107623
611,0.0162532981530343
612,0.016120803999591878
613,0.0162687265917603
614,0.016209000762776506
615,0.016230586259969218
616,0.016101790338925795
617,0.016291230893000806
618,0.0161563665122585
619,0.016289592760180997
620,0.016147164026571282
621,0.016149461684610514
622,0.0162206961875444
623,0.016259051783030467
624,0.016060571297464726
625,0.01624601102407891
626,0.01624106230847804
627,0.016199226305609285
628,0.016170058139534885
629,0.01628162816281628
630,0.016143364928909953
631,0.016303015444962002
632,0.016129032258064516
633,0.016258129064532265
634,0.01622041995333852
635,0.016263100831225154
636,0.016120292603630453
637,0.016223925833481905
638,0.016190881976991905
639,0.016203039862345857
640,0.016027140851661206
641,0.016295310941137345
642,0.01619332336821126
643,0.016307893020221786
644,0.01612476870208829
645,0.016223448737247032
646,0.016193139997055794
647,0.016265830138259555
648,0.016062644312819997
649,0.016262295081967214
650,0.016183412002697236
651,0.016210526315789474
652,0.016153611703748856
653,0.01626931341450936
654,0.016192651027610545
655,0.016259197721338714
656,0.01608608830707788
657,0.016210295728368018
658,0.016200442745019118
659,0.016316519142582916
660,0.016123076923076924
661,0.01628631748265809
662,0.016207687894434882
663,0.016216760676873488
664,0.016111898016997167
665,0.01622748250707161
666,0.016161832387883976
667,0.016229029905178702
668,0.01615562149686779
669,0.01625
670,0.01622397702799713
671,0.016261648090626715
672,0.016044006417602567
673,0.01631053230496902
674,0.016211604095563138
675,0.016170431211498974
676,0.016129032258064516
677,0.016321271341136045
678,0.016171328671328672
679,0.016241776315789474
680,0.016121875462209733
681,0.01624762808349146
682,0.01618628425386909
683,0.016311584553928095
684,0.016101898582071617
685,0.0162900683131897
686,0.016179444750873323
687,0.016244624940277116
688,0.01607898448519041
689,0.016229116945107397
690,0.01614894054721251
691,0.01629060002023677
692,0.01614964563727199
693,0.01617881852048962
694,0.016217824728463025
695,0.01624939817043813
696,0.016094420600858368
697,0.016271501627150162
698,0.016202821197102556
699,0.016267689459066263
700,0.016145307769929364
701,0.01627166607711355
702,0.016119402985074627
703,0.016258467952058365
704,0.016034535923527597
705,0.016230114092881248
706,0.016226071103008204
707,0.016258771179188773
708,0.016140229087122527
709,0.01631646906913957
710,0.016203466311147576
711,0.01621742534392126
712,0.016116195781933945
713,0.01622309405153218
714,0.016172855479363438
715,0.016228430566967954
716,0.01615508885298869
717,0.016260162601626018
718,0.01620603015075377
719,0.016319000993330494
720,0.01606008087810514
721,0.016230114092881248
722,0.01617034902337496
723,0.016245688216312452
724,0.016150039072675176
725,0.016251545663310368
726,0.016156176371592057
727,0.016279837201627984
728,0.016096791162546028
729,0.01612115290669272
730,0.01621147948006426
731,0.01626488527446994
732,0.01613733905579399
733,0.01630595908686629
734,0.01621109927819193
735,0.01620394261533698
736,0.016045483259633606
737,0.016276116818654048
738,0.01615492675095324
739,0.016319129646418858
740,0.01616254906488109
741,0.016193063100710406
742,0.01617995264404104
743,0.016316540893330615
744,0.016091954022988506
745,0.01625934154716219
746,0.01623243759377984
747,0.01619702684712669
748,0.01615191531157918
749,0.016270470153195986
750,0.016170690623245366
751,0.0163167740594471
752,0.01608718214841723
753,0.01623725174449812
754,0.01618476086561193
755,0.016265060240963854
756,0.016092749610659283
757,0.016278327481646985
758,0.01623642097885761
759,0.01618705035971223
760,0.016103231310653728
761,0.01632769979948439
762,0.016175860638739114
763,0.016270337922403004
764,0.016169985300013363
765,0.016199649737302976
766,0.01621484671902711
767,0.01625582944703531
768,0.016011885110597555
769,0.01629570747217806
770,0.016180517336268574
771,0.016267792898482715
772,0.016141579152080903
773,0.01631094915842443
774,0.016147515366183977
775,0.016244314489928524
776,0.016103733138136567
777,0.01622995698083692
778,0.01621902166861295
779,0.016248420292471564
780,0.01611842105263158
781,0.016254499013119702
782,0.016181733312587522
783,0.01617098269817935
784,0.0160741885625966
785,0.016282856478250757
786,0.016174686615446826
787,0.01631825938566553
788,0.01614110101549973
789,0.016252490300933207
790,0.016219493709261786
791,0.01624839124839125
792,0.016076038488617696
793,0.01625511850105472
794,0.01622504960896463
795,0.01620773788776577
796,0.0161563665122585
797,0.01629269687008718
798,0.016151460049203124
799,0.016271116177842264
800,0.01606174384647476
801,0.016202203499675955
802,0.016226848057695458
803,0.016263190564866543
804,0.016149291225551768
805,0.01621437105308073
806,0.016179839633447882
807,0.016239745521513478
808,0.016117658910043315
809,0.01632302405498282
810,0.016114887086165316
811,0.01633533672368624
812,0.01614282659824674
813,0.01626098373901626
814,0.01620482903905364
815,0.01625922509225092
816,0.016076716965167114
817,0.016240906783962103
818,0.01625
819,0.016172996547337816
820,0.016155587569458736
821,0.01631939385108553
822,0.01619644723092999
823,0.016327443524938492
824,0.016094628660073686
825,0.016208340921507924
826,0.01620317168467019
827,0.01634740748169692
828,0.016094088517486844
829,0.01630735212824765
830,0.01619804400977995
831,0.016256313131313132
832,0.016032325338894683
833,0.016240681576144837
834,0.016166281755196306
835,0.016261857604503285
836,0.016130648231640118
837,0.016166040884438883
838,0.016219493709261786
839,0.016327854671280277
840,0.016091954022988506
841,0.016260162601626018
842,0.016227180527383367
843,0.016257519102584946
844,0.0161730319563523
845,0.016222834404652588
846,0.01615492675095324
847,0.016225634324294892
848,0.016073594824100285
849,0.016200442745019118
850,0.016201117318435754
851,0.016243393064328992
852,0.01613144137415982
853,0.016303280298566095
854,0.01620149761742682
